gene	dir	proportion_retained	num_seqs_unaligned	num_seqs_aligned	kingdom	phylum	class	order	family	genus	species	subspecies	different_genbank_species
Sibogasyrinx-pyramidalis-COI	Gastropoda/Neogastropoda/Cochlespiridae/Sibogasyrinx-pyramidalis	1.0	4	4	Animalia	Mollusca	Gastropoda	Neogastropoda	Cochlespiridae	Sibogasyrinx	Sibogasyrinx pyramidalis		
Similipecten-greenlandicus-COI	Bivalvia/Pectinida/Propeamussiidae/Similipecten-greenlandicus	1.0	19	19	Animalia	Mollusca	Bivalvia	Pectinida	Propeamussiidae	Similipecten	Similipecten greenlandicus		Delectopecten greenlandicus
Simnia-patula-COI	Gastropoda/Littorinimorpha/Ovulidae/Simnia-patula	1.0	3	3	Animalia	Mollusca	Gastropoda	Littorinimorpha	Ovulidae	Simnia	Simnia patula		Xandarovula patula
Sinanodonta-woodiana-COI	Bivalvia/Unionida/Unionidae/Sinanodonta-woodiana	1.0	14	14	Animalia	Mollusca	Bivalvia	Unionida	Unionidae	Sinanodonta	Sinanodonta woodiana		
Sinistrofulgur-laeostomum-COI	Gastropoda/Neogastropoda/Buccinidae/Sinistrofulgur-laeostomum	1.0	13	13	Animalia	Mollusca	Gastropoda	Neogastropoda	Buccinidae	Sinistrofulgur	Sinistrofulgur laeostomum	laeostomum	Busycon laeostomum
Sinistrofulgur-sinistrum-COI	Gastropoda/Neogastropoda/Buccinidae/Sinistrofulgur-sinistrum	1.0	11	11	Animalia	Mollusca	Gastropoda	Neogastropoda	Buccinidae	Sinistrofulgur	Sinistrofulgur sinistrum	sinistrum	Busycon sinistrum sinistrum
Sinonovacula-constricta-COI	Bivalvia/Adapedonta/Pharidae/Sinonovacula-constricta	1.0	9	9	Animalia	Mollusca	Bivalvia	Adapedonta	Pharidae	Sinonovacula	Sinonovacula constricta		
Siphonaria-lessonii-COI	Gastropoda/Siphonariida/Siphonariidae/Siphonaria-lessonii	1.0	565	565	Animalia	Mollusca	Gastropoda	Siphonariida	Siphonariidae	Siphonaria	Siphonaria lessonii		Siphonaria sp. MLP 13164
Siphonaria-pectinata-COI	Gastropoda/Siphonariida/Siphonariidae/Siphonaria-pectinata	1.0	5	5	Animalia	Mollusca	Gastropoda	Siphonariida	Siphonariidae	Siphonaria	Siphonaria pectinata		
Siphonaria-thersites-COI	Gastropoda/Siphonariida/Siphonariidae/Siphonaria-thersites	1.0	18	18	Animalia	Mollusca	Gastropoda	Siphonariida	Siphonariidae	Siphonaria	Siphonaria thersites		
Solemya-velum-COI	Bivalvia/Solemyida/Solemyidae/Solemya-velum	1.0	6	6	Animalia	Mollusca	Bivalvia	Solemyida	Solemyidae	Solemya	Solemya velum		
Sphaerium-occidentale-COI	Bivalvia/Sphaeriida/Sphaeriidae/Sphaerium-occidentale	1.0	8	8	Animalia	Mollusca	Bivalvia	Sphaeriida	Sphaeriidae	Sphaerium	Sphaerium occidentale		
Spisula-aequilatera-COI	Bivalvia/Venerida/Mactridae/Spisula-aequilatera	1.0	21	21	Animalia	Mollusca	Bivalvia	Venerida	Mactridae	Spisula	Spisula aequilatera		Crassula aequilatera
Spisula-discors-COI	Bivalvia/Venerida/Mactridae/Spisula-discors	1.0	9	9	Animalia	Mollusca	Bivalvia	Venerida	Mactridae	Spisula	Spisula discors		
Spisula-elliptica-COI	Bivalvia/Venerida/Mactridae/Spisula-elliptica	1.0	12	12	Animalia	Mollusca	Bivalvia	Venerida	Mactridae	Spisula	Spisula elliptica		
Spisula-murchisoni-COI	Bivalvia/Venerida/Mactridae/Spisula-murchisoni	1.0	4	4	Animalia	Mollusca	Bivalvia	Venerida	Mactridae	Spisula	Spisula murchisoni		
Spisula-solida-COI	Bivalvia/Venerida/Mactridae/Spisula-solida	1.0	10	10	Animalia	Mollusca	Bivalvia	Venerida	Mactridae	Spisula	Spisula solida		
Spisula-solidissima-COI	Bivalvia/Venerida/Mactridae/Spisula-solidissima	1.0	10	10	Animalia	Mollusca	Bivalvia	Venerida	Mactridae	Spisula	Spisula solidissima		
